Tanggapan,SI,S_SI,I,S_I
Lebih baik,0,0,0,0
internet kurang cepat,0,1,1,0
tidak ada,0,1,0,1
baik,0,1,0,1
Tidak ada saran,0,1,0,1
Sistem informasi sudah baik tidak ada masukan.,0,1,0,1
-,0,0,0,0
.,0,0,0,0
sudah cukup baik dalam informasi igracias.,0,1,0,1
lebih tepat,0,0,0,0
mohon untuk ditingkatkan lagi,0,0,0,0
Buat aplikasi i gracias,1,0,0,1
cukup baik,0,1,0,1
bagus,0,1,0,1
"Sudah baik, tapi perlu ditingkatkan lagi",0,1,0,1
sangat puas,0,1,0,1
informasi lancar,1,1,0,1
bagus,0,1,0,1
A,0,0,0,0
cukup bermanfaat,0,1,0,1
-,0,0,0,0
Layanan sistem informasi yang cepat dan akurat memudahkan para mahasiswa dalam mencari informasi mengenai perkuliahan dan lain-lain.,0,1,0,1
sistem igracias sudah bagus namun jika di jam sibuk terkadang sulit untuk di akses,1,0,0,1
informasinya harus lebih jelas agar tidak salah informas,1,0,0,1
sangat update sekali,1,1,0,1
layanan informasi sebaiknya di buat lebih mudah di akses dengan pengumuman yang dapat secara mudah tersebar,1,0,0,1
diharapkan internet yang ada disekitar kampus lebih diperkuat lagi sinyalnya dan kecepatannya juga,0,1,1,0
baik,0,1,0,1
Lebih bail lagi,0,0,0,0
Harus lebih ditingkatkan lagi,0,0,0,0
Tingkatkan lagi,0,0,0,0
disarankan untuk balik dikurikulum sebelumnya saja,0,1,0,1
"sudah bagus, lebih ditingkatkan",0,1,0,1
-,0,0,0,0
kadang lemot,0,0,1,0
sudah bagus,0,1,0,1
-,0,0,0,0
-,0,0,0,0
semoga bisa lebih baik lagi kedepannya,0,0,0,0
Tidak ada,0,1,0,1
-,0,0,0,0
penyebaran informasi cukup baik,1,1,0,1
masih harus ditingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
lebih di tingkatkan,0,0,0,0
"Jika bisa, memberi pemberitahuan pada setiap mahasiswa/i melewati sms, karena terkadang banyak yang lupa untuk mengakses i-Gracias.",1,0,0,1
lumayan bagus,0,1,0,1
Y,0,0,0,0
sudah baik dan ditingkatkan lagi,0,1,0,1
Sudah memuaskan,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
cukup baik di perbaruhi lagi lebih baik,0,1,0,1
Ditingkatkan lagi,0,0,0,0
diperbaiki lagi sesuatau yang sudah baik :),0,0,0,0
sudah baik dalam sistem informasinya,0,1,0,1
"menurut saya baik, tetapi tetap perlu ditingkatkan lagi.",0,1,0,1
lebih di tingkatkan lagi,0,0,0,0
baguuss,0,1,0,1
cukup bagus,0,1,0,1
Sudah cukup bagus namun itu tadi soal bandwidht dan jumlah kalo bisa ditambah,1,0,1,0
o,0,0,0,0
"sudah lumayan bagus, tapi terkadang igracias harus diperbaiki lagi karena sering down server",1,0,0,1
lebih baik,0,0,0,0
sudah baik,0,1,0,1
Good,0,1,0,1
Tolong front desk nya lebih bersahabat,1,0,0,1
layanan sistem informasi nya sudah bagus,0,1,0,1
cukup baik,0,1,0,1
Lebih di tingkatkan lagi layanan sistem informasi,0,0,0,0
tidak adsa,0,1,0,1
bagus,0,1,0,1
sudah bagus,0,1,0,1
tingkat kan lagi agar mahasiswa tidak ktinggalan informasi.,1,0,0,1
nothing its enough,0,0,0,0
sejauh ini sudah baik,0,1,0,1
sudah baik namun diharapkan agar ditingkatkan lagi,0,1,0,1
cukup,0,1,0,1
sudah baik,0,1,0,1
sudah baik,0,1,0,1
Bagus,0,1,0,1
w,0,0,0,0
mohon untuk cepat tanggap dalam masalah internet kampus dan juga igracias,1,0,1,0
sudah baik,0,1,0,1
"Mohon dipermudah, jadi tidak bolak balik ngurus ini itu",1,0,0,1
"sudah cukup bagus,tinggal ditingkatkan penyeberan informasi secaraluas tidak hanya lewat media sosial",1,0,0,1
-,0,0,0,0
sudah bagus,0,1,0,1
Cukup baik,0,1,0,1
-,0,0,0,0
cukup bagus,0,1,0,1
sudah cukup memuaskan,0,1,0,1
Semoga lebih baik,0,0,0,0
Tidak ada kendala untuk layanan Sistem informasi. Hanya beberapa kali di koneksi jaringan. Mungkin saran saya untuk TUNE dapat kembali digunakan oleh multi-device agar tidak saling pinjam akun TUNE.,1,0,1,0
bagus,0,1,0,1
Mohon lebih kreatif untuk menciptakan UI yang user friendly dan cepat tanggap dalam masalah,1,0,0,1
tidak ada,0,1,0,1
sudah cukup bagus layanannya cepat tanggap,0,1,0,1
sudah baik lanjutkan,0,1,0,1
Sistem informasi sudah melakukan kerjanya dengan maksimal,0,1,0,1
Sangat memuaskan,0,1,0,1
harus lebih jelas dan update,0,0,0,0
sudah cukup baik,0,1,0,1
Bagus,0,1,0,1
-,0,0,0,0
"Sudah baik, diharap kedepannya dapat lebih baik lagi.",0,1,0,1
Layanan TUNE semoga lebih ditingkatkan lagi.,1,0,0,1
-,0,0,0,0
beri kemudahan mahasiswa dlm akses informasi dr kampus,0,1,0,1
"Sudah semakin baik daripada tahun lalu, semoga ada banyak peningkatan lagi kedepannya.",0,1,0,1
saran saya untuk lebih meningkatkan kemabali,0,0,0,0
sudah cukup baik,0,1,0,1
tingkatkan menjadi lebih baik,0,1,0,1
Layanan Sistem Informasi Telkom sudah cukup memuaskan,1,1,0,1
jangan lambat memberi informasi,0,1,0,1
baik,0,1,0,1
semoga lebih baik lagi kedepan nya,0,0,0,0
tidak ada,0,0,0,0
informasi sangat bagus,1,1,0,1
"tingkatkan lagi, suka lemot",0,0,0,0
"Tune sangat buruk,karena itu tolong diperbaiki kembali agar penggunaannya dapat digunakan",1,0,0,0
"sebaiknya efektivitas sisfo di tel-u lebih ditingkatkan lagi, terutama saat melayani mahasiswa yang kebingungan saat melakukan pembayaran.",0,1,0,1
informasi maunya lebih banyak dan menarik karena tidak semua mahasiswa senang dengan informasi yg baku,1,0,0,1
semoga kedepannya bisa lebih baik dari segala aspek. telkom harus lebih majuuu,0,0,0,0
Diperbaiki lagi,0,0,0,0
ADGsfdhg,0,0,0,0
berikan yang terbaik,0,0,0,0
"tidak ada, terima kasih",0,0,0,0
pelayanan sudah baik,0,1,0,1
baik,0,1,0,1
internetnya tolong di percepat untuk mengakses informasi,0,1,1,1
"layanan sistem informasi berbasis online sudah baik, tetapi terkadang sulit diperoleh akibat server yg lambat",0,1,0,1
ditingkatkan lagi layanan mengenai internet diarea kampus,0,0,1,0
sudah cukup bagus,0,1,0,1
"Kadang igracias suka error, apalagi tuk daftar hadirnya.",1,0,0,0
cukup baik,0,1,0,1
kurang bagus,0,0,0,0
Sisfonya harap lebih efisien lagi dlm menerima costumer,0,1,0,1
banyak informasi yang tidak sampai ke mahasiswa/i jadi tolong penyampaian informasi tidak hanya di blog atau website saja tetapi melalui pengumuman langsung secara visual dan audio secara intensif apalagi untuk hal penting,1,0,0,1
Sudah memuaskan tidak ada yang perlu dibenahi,0,1,0,1
lebih baik lagi,0,0,0,0
Good,0,1,0,1
igracias sering down dan susah dibuka. mohn ditingkatkan lagi,1,0,0,1
Sebaiknya setiap prodi difasilitasi lab sendiri sehingga tidak bergabung dengan prodi lain,0,0,0,0
-,0,0,0,0
untuk layanan TUNE kecepatan lebih ditambah,1,0,0,1
update,0,0,0,0
overall sudah bagus,0,1,0,1
Jika ada informasi yang benar benar penting  mohon unutk tidak hanya diigracias saja tetapi dimading atau ke km kelas dikabarkan juga agar bisa lebih mudah mengetahui informasinya,1,1,0,1
Semua akan lebih baik jika dilakukan dengan cepat dan tepat,0,0,0,0
none,0,0,0,0
"bagus, tetapi terkadang itu ribet",0,1,0,1
bagus,0,1,0,1
kurang informatif harusnya bekerja sama dengan bem,0,0,0,0
sudah cukup cepat dan menjangkau seluruh wilayah,0,1,0,1
.,0,0,0,0
good,0,1,0,1
sebaiknya lebih ditingkatkan,0,0,0,0
lebih ditingkatkan,0,0,0,0
-,0,0,0,0
sudah baik,0,1,0,1
Lebih ramah lagi,0,0,0,0
lebih ditingkatkan lagi pelayanannya,0,0,0,0
Lumayan baik,0,1,0,1
Tingkatkan lagi,0,0,0,0
bagus,0,1,0,1
Sdh bagus,0,1,0,1
"mempermudahkan mahasiswa dalam mengelola sistem informasi, jangan sampai menjadi ribet dalam pelayanannya",0,1,0,1
makin ditingkatkan lagi dari segi bidang apapun,0,0,0,0
sudah cukup,0,1,0,1
baik sejauh ini belu ada keluhan yang saya rasakan,0,1,0,1
Sudah Baik,0,1,0,1
sudah memuaskan dan dapat di tingkatkan lagi,0,0,0,0
sistem layanan kuang baik,0,0,0,0
"selama ini sih biasa saja, ditingkatkan lagi yaa",0,0,0,0
lanjutkan,0,0,0,0
saya hanya ingin parkiran motor diperbaiki,0,0,0,0
"layanan yang telah diberikan di Universitas Universitas Telkom dalam bidang sistem informasi sudah baik, akan lebih baik lagi jika pelayanan nya ditingkatkan",0,1,0,1
sudah baik,0,1,0,1
menjadi lebih baik lagi,0,0,0,0
Lebih d tingkat kan lagi,0,0,0,0
harus lebih baik kedepannya,0,0,0,0
-,0,0,0,0
untuk layanan sistem informasi menurut saya masih kurang maksimal.,0,0,0,0
Lanjutkan,0,0,0,0
"seluruh informasi harus tertuang di igracias kalau bsa dalam bentuk aplikasi iot,agar aman dan tersimpan dengan baik",1,0,0,1
ditingkatkan lagi,0,0,0,0
dalam mengenai layanan sistem informasi kalo menurut saya sudah cukup baik kalo bisa di pertahankan,0,1,0,1
bagus,0,1,0,1
Mantap,0,1,0,1
layananny acukup,0,1,0,1
-,0,0,0,0
lebih baik lagi,0,0,0,0
-,0,0,0,0
kurang memuaskan,0,0,0,0
Terus ditingkatkan lagi pelayanannya,0,0,0,0
kurangnya publikasi di lingkungan kampus,0,0,0,0
supaya layanan dibidang layanan sistem informasi semakin baik,0,1,0,1
tingkatkan,0,0,0,0
tidak ada,0,1,0,1
informasi di beritahukan secara jelas,0,0,0,1
Lebih memperbaiki aspek yang ada di bidang layanan sistem informasi,0,1,0,1
cukup,0,1,0,1
perbaiki agar tidak sering trouble dalam mengakses igracias,1,0,0,0
cukup baik.,0,1,0,1
Sistem informasi masih kurang dikarenakan pasifnyaa informasi yang ada,0,1,0,1
Sudah bagus walupun kadang agak membingungkan.,0,1,0,1
cukup,0,1,0,1
Untuk sistem informasi dalam penyebarannya mohon lebih dipermudah.,0,1,0,0
Tolong internet dipercepat lagi..karena siswa ada banyak.,0,0,1,0
,0,0,0,0
,0,0,0,0
ditingkatkan kembali fasilitasnya,0,0,0,0
Tingkatkan agar tidak ada kesalaham informasi,0,0,0,1
Data dalam sistem informasi jangan terlalu lama di update,0,1,0,0
informasinya harus lebih cepat up to date,0,0,0,0
nuhun sabandungan,0,1,0,1
perlu ditingkatkan lagi,0,0,0,0
tingkatkan,0,0,0,0
semoga lebih baik,0,0,0,0
ditingkatkan kembali layanan nya,0,0,0,0
tingkatkan,0,0,0,0
kualitasnya ditingkatkan kembali,0,0,0,0
tingkatkan,0,0,0,0
ok,0,0,0,0
"sudah bagus, pertahankan",0,1,0,1
ya,0,1,0,1
"upgrade server, bandwidth, dsb.",0,0,0,0
sudah cukup baik,0,1,0,1
Mohon untuk memperbaiki kualitas akses internet Tune khususnya di Fakultas Ilmu Terapan.,1,0,1,0
Belum ada saran,0,0,0,0
Sudah cukup bagus. Harus ditingkatkan lagi kinerjanya.,0,1,0,1
perlu ditingkatkan lagi,0,0,0,0
Cukup puas,0,1,0,1
bagus,0,1,0,1
"untuk layanan sistem informasi sudah bagus, saran saya untuk di pertahankan dan di tingkatkan lagi layanannya",1,1,0,1
sangat baik,0,1,0,1
Bisa lebih tersebar lagi jika ada informasi baru mengenai hal tsb,0,0,0,1
kadang informasi yang diberikan kurang jelas,0,0,0,1
,0,0,0,0
sangat baik,0,1,0,1
sudah bagus,0,1,0,1
sangat baik,0,1,0,1
sudah bagus,0,1,0,1
termasuk update namun kadang terdapat misskomunikasi jadi yang seperti itu mohon diperbaiki,0,0,0,0
cukup,0,1,0,1
Kurang responsif,0,0,0,0
"didesain lagi euy, punya anak desain di kampus kan?",0,0,0,0
asd,0,0,0,0
bagus,0,1,0,1
server dan tune harus dipercepat karena berpengaruh pada layanannya,1,0,0,1
-,0,0,0,0
-,0,0,0,0
Lebih baik lagi,0,0,0,0
tingkatkan agar lebih baik,0,0,0,0
Kurang,0,0,0,0
Perbaiki layanan internet tune yang suka tertukar akunnya dengan akun yang lain,1,0,1,0
Sudah baik,0,1,0,1
saran : sangat memuaskan karna terupdate terus informasi apa yang terbaru dari luar maupun dari dalam telkom university,0,1,0,1
,0,0,0,0
,0,0,0,0
-,0,0,0,0
ok,0,1,0,1
sebarluaskan informasi yang ada,0,0,0,1
"sudah baik, lanjutkan",0,1,0,1
layanan sudah baik,0,1,0,1
"Sudah bagus, lanjutkan dan lebih baik lagi",0,1,0,1
Baik,0,1,0,1
Tune segera diperbaiki ketika respon untuk login dan bisa digunakan multi devide,1,0,0,1
lebih ditingkatkan lagi agar jalannya perkuliahan lebih maksimal,0,0,0,0
Tingkatkan,0,0,0,0
"sudah baik, tingkat kan lagi",0,1,0,1
Perbaiki sistem yang sering down dan membuat sistem yang sesimple mungkin,0,0,0,0
semoga bisa bertambah maju lagi.,0,0,0,0
tidak ada,0,1,0,1
sudah cukup baik pertahankan,0,1,0,1
sudah lumayan,0,1,0,1
sudah bagus,0,1,0,1
tune kada sering ada gangguan,1,1,0,1
.,0,0,0,0
perbaiki,0,0,0,0
"give information do not always in igracias, but as the official telkom official account",1,0,0,1
maju terus pandang mundur,0,0,0,0
Sudah bagus. Kurang kurangin sistem down nya.,0,1,0,1
Sudah baik,0,1,0,1
TIngkatkan kembali dalam sistem pelayanan yang terkadang malah meyepelekan mahasiswa dan memberikan pelayanan yang seadanya saja,0,0,0,0
-,0,0,0,0
"sudah bagus, harus dipertahankan dan ditingkatkan lagi kemudian",0,1,0,1
baik,0,1,0,1
sangat membantu sekali,0,0,0,0
baik,0,1,0,1
melakukaa cara agar server igracias tidak mudah down sehingga mahasiswa mudah mengakses igracias meskipun sedang banyak diakses banyak orang,1,1,0,1
semua yang didapatkan dari telkom sangat baik,0,0,0,0
"sudah baik,cuma pelayanannya yang diutamakan dengan penuh ramah tamah",1,0,0,1
a,0,0,0,0
Tingkatkan,0,0,0,0
tidak ada,0,1,0,1
Untuk pelayana sisfo sudah baik tetapi staf harusnya bisa lebih ramah lagi,1,0,0,1
tingkatkan selalu layanan sistem informasi di universitas telkom,0,0,0,0
cukup baik tetapi lambat pada saat penggunaan tune,1,0,0,1
"apakah sisfo memiliki website untuk mahasiswa telkom keseluruhan? jika sudah ada agar lebih disosialisasikan kepada mahasiswa agar mahasiswa dapat dengan mudah mencari informasi seputar perkuliahan dan jika belum ada, maka sebaiknya agar dibuat untuk mempermudah mahasiswa",1,0,0,1
baguss lebih diperbanyak info tentang beasiswa :D,0,1,0,1
baik,0,1,0,1
Lebih mengerti,0,1,0,1
tingkatkan,0,0,0,0
-,0,0,0,0
SIP,0,0,0,0
Sudah menjadi yang terbaik,0,1,0,1
"layanan informasinya memuaskan,karena hampir semua jenis informasi bersifat on-line,dan juga ada beberapa yang disampaikan secara langsung ataupun lisan",1,1,0,1
lebih di perbaiki layanan sistem informasinya,0,0,0,0
Sudah baik,0,1,0,1
sudah sangat baik,0,1,0,1
sudah bagus lebih ditingkatkan lagi,0,1,0,1
perbaiki i-gracias sehingga tidak down saat registrasi dan dibuat lebih user friendly,1,0,0,1
lebih di tingkatkan kualitasnya,0,0,0,0
Di bidang ini sudah cukup baik,0,1,0,1
-,0,0,0,0
semoga lebih baik,0,0,0,0
Lebih baik lagi,0,0,0,0
kinerja lebih ditingkatkan,0,0,0,0
koneksi internet TUNE perlu diperbaiki dan ditambah servernya,1,0,0,1
"Bagus,harus cepat respon",0,1,0,1
semiga bisa,0,0,0,0
semoga pelayananya jauh lebih baik,1,0,0,1
Lebih ditingkatkan,0,0,0,0
"lebih komunikatif saja, lebih aktiv",0,0,0,0
"sudah bagus,",0,1,0,1
Tingkatkan terus,0,0,0,0
Layanan sudah baik,1,1,0,1
semoga internet tidak sering error,0,0,1,0
jangan lelet lagi jika buka igracias,1,0,0,1
kedepannya lebih baik lagi..,0,0,0,0
good,0,1,0,1
pelayanannya harus lebih cepat,1,0,0,1
Lebih Baik,0,1,0,1
sudah memberikan informasi dengan jelas jika ada pemberitahuan informasi.,1,1,0,1
RFID kadang masih error,0,0,0,0
lebih ditingkatkan kecepatannya,0,0,0,0
,0,0,0,0
sistem informasi masih belum menyeluruh,1,0,0,1
jika ada pengumuman harap diumumkan melalui webside resmi telkom secepat mungkin/ dan diberikan notice kepad mahasiswa agar mereka tau jika ada pengumuman,1,0,0,1
sudah lebih baik,0,1,0,1
tidak ada,0,1,0,1
sudah baik,0,1,0,1
sudah baik,0,1,0,1
Hehe,0,0,0,0
Lebih cepat memperbaiki sistem yang error atau yang masih ter blokir,1,0,0,1
saya rasa sudah sangat baik,0,1,0,1
Tingkatkan,0,0,0,0
-,0,0,0,0
Sebaiknya jangan hanya melalui website saja,1,0,0,1
puas,0,1,0,1
nope,0,1,0,1
pertahankan yang sudah ada,0,1,0,1
server igracias seringkali down,1,0,0,1
sudah baik,0,1,0,1
cukup,0,1,0,1
Cukup,0,1,0,1
tidak tahu,0,0,0,0
mantap,0,1,0,1
Untuk lebih ditingkatkan lagi,0,0,0,0
",nmnbmmb",0,0,0,0
good,0,1,0,1
Tidak ada,0,1,0,1
lebih mudah di akses lagi igraciasnya,1,1,0,1
sudah cukup bagus,0,1,0,1
JANGAN DIPERSULIT,0,0,0,0
tetap berkembang,0,0,0,0
baik,0,1,0,1
Lumayan bagus,0,1,0,1
layanan informasi sudah memadai,1,1,0,1
so far so good,0,1,0,1
tidak ada,0,1,0,1
-,0,0,0,0
lebih tingkatkan lagi pelayanannya,0,0,0,0
SUDAH BAIK,0,1,0,1
Menggunakan jalur informasi sesuai dengan fungsi pada semua teknologi di Tel-U,1,1,0,1
sudah cukup baik,0,1,0,1
baik tingkatkan,0,1,0,1
-,0,0,0,0
memuaskan,0,1,0,1
Perbaiki jaringan tune,1,0,0,1
.,0,0,0,0
tidak masalah,0,1,0,1
sudah baik,0,1,0,1
Sudah baik,0,1,0,1
internetnya di berikan kepada seluruh penjuru telkom university,0,0,1,0
harus lebih baik,0,0,0,0
selalu berinovasi dalam memberikan pelayanan,1,1,0,1
"system informasi sudah baik, tingkatkan lagi security database igracias khususnya nilai mahasiswa karena masih ada nilai hilang dan tidak bertanggungjawab",1,0,0,1
"Informasi belum terkoordinasi secara bagus, sinergi antara kampus dan mahasiswa masih kurang",1,0,0,1
Bagus,0,1,0,1
Sudah bagus,0,1,0,1
kelengkapannya saja mungkin,0,0,0,0
Masih tidak bagus pelayanannya,1,0,0,1
Semua udah memuaskan,0,1,0,1
Kedepannya lebih baik lagi,0,0,0,0
"Baik , karena informasi informasi juga bisa kita lihat di igracias , web , tapi  dalam media  sosial lebih di tingkatkan lagi dalam mengelola informasinya karena di media sosial menurut saya kurang",1,1,0,1
lebih cepat dan sigap jika mahasiswa butuh informasi,1,0,0,1
perlu di tingkatkan kembali pelayanan nya karena sering terjadi miss komunikasi,1,0,0,1
tingkatkan lagi ya,0,0,0,0
udah cukup baik,0,1,0,1
Semoga lebih baik lagi,0,0,0,0
Tingkatkan lagi,0,0,0,0
gedung kuliah teknik pake ac,0,0,0,0
tingkatkan,0,0,0,0
sangat cukup,0,1,0,1
semoga lebih baik lagi kedepannya,0,0,0,0
baik,0,1,0,1
tidak ada,0,1,0,1
"Sudah bagus, tingkatkan!",0,1,0,1
Jangkauan internet diperluas terutama di asrama,1,0,1,0
;,0,0,0,0
lebih tingkatkan,0,0,0,0
suka eror,0,0,0,0
"sudah baik dan cukup memadai, harap harap dipertahankan",0,1,0,1
Tingkatkan lagi,0,0,0,0
Kurang cepat melayani,1,0,0,1
"Perlebar bandwidth tune, dimanapun. Terutama untuk riset di lab",1,0,0,1
Sudah baik,0,1,0,1
cukup baik,0,1,0,1
berjalan dengan baik dan lancar,0,1,0,1
Bagus,0,1,0,1
"internet di perbagus (kecepatan, akses)",1,0,1,0
sangat puas jelas sekali,0,1,0,1
sistem rf id diperbaiki karena masih ada yang belum bisa tapping,1,0,0,1
Bagus sudah maksimal,0,1,0,1
tidak ada,0,1,0,1
Tidak ada,0,1,0,1
baik,0,1,0,1
Semua berjalan lancar itu yg di harapkan,0,1,0,1
-,0,0,0,0
lebih ditingkatkan,0,0,0,0
wifi nya aja yang perlu lebih ditingkatkan. karena semua mahasiswa yang ada di asrama sangat membutuhkanya untuk tugas,1,0,0,1
sudah baik,0,1,0,1
baik,0,1,0,1
layanan sistem informasi masih perlu diperbaiki lagi terutama layanan TUNE,1,0,0,1
Terbaik,0,1,0,1
mantap,0,1,0,1
"setiap informasi jangan hanya di post di igracias saja,bisa di mading tiap gedung",1,0,0,1
sudah baik,0,1,0,1
tingkatkan,0,0,0,0
tidak ada,0,1,0,1
Lebih responsif,0,0,0,0
"untuk presensi di kelas, alat yang rusak tolong diperbaiki",1,0,0,1
lebih baik lagi,0,0,0,0
Bagus,0,1,0,1
sudah bagus,0,1,0,1
lebih d majukan lagi tapi sekarang sudah bagus,0,0,0,0
Bagus,0,1,0,1
"layanannya sejauh ini masih baik , tetapi bagusnya lagi igracias memiliki aplikasi yang bisa diunduh di google play/ios",1,1,0,1
lebih bisa mem publish dengan back,1,1,0,1
sudah baik,0,1,0,1
Tingkatkan,0,0,0,0
lebih dikembangkan agar lebih baik,0,0,0,0
no comment,0,1,0,1
harus ditingkatkan lagi keamanannya,0,0,0,0
.,0,0,0,0
lebih di publikasi lagi,1,0,0,1
Kembangkan lagi,0,0,0,0
sangat baik,0,1,0,1
tambahkan kecepatan wifi karena wifi nya sangat lambat,1,0,0,1
kurang responsif,0,0,0,0
igracias sering down,1,0,0,1
baik,0,1,0,1
Ditingkatkan,0,0,0,0
semakin baik lagi terutama alam bidang akses internet,1,0,1,1
Semoga kedepannya sistem layanan informasi bisa lebih jelas lagi dalam menyampaikan informasi-informasi yang ada,1,0,0,1
"cuku baik dalam prosesnya, tetapi saat menggunakan tune suka tertukar accountnya",1,0,0,1
lebih baik lagi,0,0,0,0
Tingkatkan lebih baik lagi :),0,0,0,0
Tolong diperbaiki.,0,0,0,0
O,0,0,0,0
perbanyak wifi dan permudah untuk mengakses SSO,1,0,0,1
-,0,0,0,0
secara keseluruhan bagus tapi TUNE susah digunakan dan wifi kampus jarang bisa connect sekalipun connect itu sangat sangat sangat lama sekali. mohon untuk diperbaiki,1,0,0,1
Bagus,0,1,0,1
Tolong petugas sekre lebih ramah dan informatif,1,0,0,1
sudah cukup,0,1,0,1
sudah baik layanan sistem informasinya,1,1,0,1
cukup baik,0,1,0,1
ssudah bagus,0,1,0,1
ga,0,1,0,1
tidak ada,0,1,0,1
semoga lebih baik kedepannya,0,0,0,0
dikembangkan lagi,0,0,0,0
cukup,0,1,0,1
tidak ada,0,1,0,1
mohon untuk tidak terkena server down,1,0,0,1
,0,0,0,0
dipertingkat lagi layanannya agar maksimal,0,0,0,0
untuk saat ini belum ada,0,1,0,1
Sudah baik,0,1,0,1
baik,0,1,0,1
very satisfactory,0,1,0,1
ok,0,1,0,1
di tingkatkan lagi,0,0,0,0
sudah sangat baik dan membangun karakter mahasiswa dengan baik,0,1,0,1
belum terlalu puas karena layanan internet yang masih belum baik,1,0,1,1
Lebih ditingkatkan lagi keakuratan dan keberadaan data mahasiswa/i,0,0,0,0
pertama terbaik,0,1,0,1
,0,0,0,0
sudah bagus,0,1,0,1
Sudah baik namun bisa lebih dipermudah dan tidak rumit,0,0,0,0
Untuk informasi agar lebih transparan lagi,1,0,0,1
dapat mendapat info dengan mudah,1,1,0,1
sangat baik,0,1,0,1
sudah baik,0,1,0,1
Lebih di tingkatkan lagii,0,0,0,0
tingkatkan,0,0,0,0
CUKUP,0,1,0,1
sudah cukup memuaskan,0,1,0,1
bagus,0,1,0,1
Sudah baik,0,1,0,1
Mungkin telkom bisa mengupgrade layanan internet di area Tel-U,1,0,1,1
lebih di permudah lagi memberikan informasai agar semua mahasiswa di telko tahu informasi yg beredar,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
Sudah baik,0,1,0,1
saya harap layanan yang diberikan bisa lebih baik,1,0,0,1
semangat pak bu,0,0,0,0
cukup baik,0,1,0,1
Sudah cukup baik dalam pelayanan informasi,1,1,0,1
sudah bagus,0,1,0,1
lebih diperbaiki,0,0,0,0
sudah baik dan sudah memadai,0,1,0,1
Sudah lumayan bagus,0,1,0,1
sudah baik,0,1,0,1
Tidak ada,0,1,0,1
tingkatkan,0,0,0,0
Bagus,0,1,0,1
tingkatkan dan perbaiki sistemnya,0,0,0,0
,0,0,0,0
udah lumayan (mungkin),0,1,0,1
aa,0,0,0,0
tidak ada,0,1,0,1
Ok,0,1,0,1
baik,0,1,0,1
bagus,0,1,0,1
"sistem informasi yang ada di universitas telkom sudah baik, mungkin perlu ditigkatkan lagi untuk layanan informasi akademik",1,0,0,1
cukup bagus. lebih ditingkatkan lagi,0,0,0,0
"semakin dipermudah aja mahasiswanya, dan informasi sebaiknya lebih disebarluaskan lagi dengan baik.",1,0,0,1
Tune terkadang mati sendiri,1,0,0,1
semoga semakin baik,0,0,0,0
lebih di tingkatkan lagi,0,0,0,0
"semua sudah bagus,tingkatkan",0,1,0,1
lebih tingkatkan,0,0,0,0
Kembangkan,0,0,0,0
semua layanan sistem informasi di telkom sudah bagus dan banyak sumber yang dapat memberitahu kabar tersebut,1,1,0,1
Cukup,0,1,0,1
mungkin dari sisi server dari igracias harus di tingaktkan apalagi pada saat memasuki masa geladi karna pada saat menginput sering error,1,0,0,1
"Agar layanan informasi bisa lebih to-the-point dan tidak bertele-tele. kemudian, agar tidak perlu mengumpulkan persyaratan pendaftaran yang itu-itu lagi, padahal sudah dikumpulkan pada saat pendaftaran sebelumnya. kemanakah berkas-berkas itu?",1,1,0,1
pengembangan layanan igracias agar lebih mudah diaplikasikan,1,0,0,1
-,0,0,0,0
baik,0,1,0,1
"Internet TUNE / Wifi TUNE tidak stabil. Router kualahan disaat orang-orang mulai koneksi, tiba-tiba putus koneksi dari TUNE tanpa sebab walaupun sudah login. Bandwidth drop tidak karuan, buka i-Gracias lemot apalagi website, meskipun ada di bagian-bagian tertentu di Tel-U yang routernya bermasalah.",1,0,0,1
baik,0,1,0,1
-,0,0,0,0
Baik,0,1,0,1
lebih update,0,0,0,0
"sedikit tidak memuaskan,karena layanan tune dan wifi id telkom university jarang sekali bisa terhubung.Terima kasih",1,0,0,1
bagus,0,1,0,1
sudahcukup baik,0,1,0,1
pelayanan lebih ditingkatkan lagi,1,0,0,1
cukup,0,1,0,1
lebih transparan memberikan info,1,0,0,1
Mungkin info tentang perkuliahan harus lebih aga jelas,1,0,0,1
permudah menghubungi dan berbagi folder sesama mahasiswa,1,1,0,1
oke,0,1,0,1
tergantung tune lancar atau tidak,1,0,0,1
lebih memperluas media untuk menyalurkan informasi,1,1,0,1
semoga informasi makin cepat sampai kepada mahasiswa,1,0,0,1
untuk server igracias mohon dibenahi dengan baik agar bisa diakses lebih mudah,1,0,0,1
jadilah lebih baik lagi,0,0,0,0
N/A,0,0,0,0
semoga semakin baik,0,0,0,0
Semoga kedepannya Internet bisa di setiap kelas,0,0,1,1
aplikasi-aplikasi dikembangkan lagi,0,0,0,0
supaya lbih baik,0,0,0,0
good,0,1,0,1
Lebih baik lagi kedepannya,0,0,0,0
semoga lebih baik lagi,0,0,0,0
ditingkatkan lagi dalam layanan sistem informasi sehingga penyampaian informasi lebih akurat dan cepat,1,0,0,1
pelayanannya sudah baik,1,1,0,1
informasi dapat di akses dengan mudah,1,1,0,1
bagus \,0,1,0,1
